target_id,account_id,dt,target_definition,recommended_channel,strategy_version,prior_broken_ptp,payment_id,payment_dt,amount,paid_7d
TGT0033518,ACC0014699,2026-01-01,PROMISE_BROKEN,VOICE,legacy,False,,,,False
TGT0027729,ACC0015078,2026-01-01,DPD>=30,SMS,legacy,False,PAYMENT0021884,2026-01-05 17:04:17,52801.08,True
TGT0043561,ACC0012382,2026-01-01,HIGH_RISK,VOICE,legacy,False,,,,False
TGT0022939,ACC0001785,2026-01-01,NPA,FIELD,legacy,False,,,,False
TGT0006856,ACC0008104,2026-01-01,NPA,SMS,v1,False,,,,False
TGT0012658,ACC0016200,2026-01-01,DPD>=60,WHATSAPP,legacy,False,,,,False
TGT0011112,ACC0021320,2026-01-01,HIGH_RISK,VOICE,v1,False,,,,False
TGT0012704,ACC0027187,2026-01-01,PROMISE_BROKEN,VOICE,v3,False,,,,False
TGT0007194,ACC0022532,2026-01-01,PROMISE_BROKEN,FIELD,legacy,False,,,,False
TGT0015192,ACC0024712,2026-01-01,DPD>=30,FIELD,v3,False,,,,False
TGT0012465,ACC0002681,2026-01-01,NPA,WHATSAPP,legacy,False,,,,False
TGT0026684,ACC0017589,2026-01-01,DPD>=60,SMS,v2,False,,,,False
TGT0001728,ACC0008812,2026-01-01,PROMISE_BROKEN,FIELD,legacy,False,,,,False
TGT0012190,ACC0018511,2026-01-01,PROMISE_BROKEN,VOICE,v2,False,,,,False
TGT0012201,ACC0016519,2026-01-01,PROMISE_BROKEN,SMS,legacy,False,,,,False
TGT0022102,ACC0019921,2026-01-01,DPD>=60,SMS,v1,False,,,,False
TGT0001464,ACC0011100,2026-01-01,PROMISE_BROKEN,VOICE,v2,False,,,,False
TGT0026834,ACC0018219,2026-01-01,DPD>=60,VOICE,v3,False,,,,False
TGT0040260,ACC0002189,2026-01-01,NPA,SMS,v1,False,PAYMENT0020616,2026-01-01 16:38:29,69189.76,True
TGT0022234,ACC0026969,2026-01-01,PROMISE_BROKEN,SMS,legacy,False,,,,False
TGT0007421,ACC0018402,2026-01-01,DPD>=60,VOICE,legacy,False,,,,False
TGT0040985,ACC0023288,2026-01-01,HIGH_RISK,VOICE,v3,False,,,,False
TGT0022353,ACC0029314,2026-01-01,NPA,WHATSAPP,legacy,False,,,,False
