vendor_id,calls,answered,answer_rate,duration_sec,vendor_name,vendor_account_id,timezone,status,schema_version
VND0000001,6025,1168,0.19385892116182574,2706406,Airtel,VAC342762,Asia/Kolkata,INACTIVE,v3
VND0000002,5934,1168,0.19683181664981464,2630626,Exotel,VAC456766,UTC,INACTIVE,v3
VND0000003,5964,1188,0.19919517102615694,2709889,Twilio,VAC074211,UTC,INACTIVE,v3
VND0000004,5925,1156,0.1951054852320675,2669623,Twilio,VAC321507,UTC,ACTIVE,v1
VND0000005,6048,1179,0.1949404761904762,2740234,Twilio,VAC976733,Asia/Kolkata,ACTIVE,v1
VND0000006,5896,1227,0.20810719131614655,2658126,Knowlarity,VAC544470,UTC,ACTIVE,v2
VND0000007,6069,1179,0.19426594167078595,2710086,TataTele,VAC997592,UTC,INACTIVE,v1
VND0000008,5911,1168,0.19759769920487227,2653282,Airtel,VAC496672,Asia/Kolkata,INACTIVE,v3
VND0000009,5972,1154,0.19323509711989284,2693781,Exotel,VAC382568,Asia/Kolkata,INACTIVE,v1
VND0000010,6163,1251,0.20298555898101575,2796342,Airtel,VAC172916,UTC,INACTIVE,v1
VND0000011,6072,1220,0.20092226613965744,2738287,Airtel,VAC461665,UTC,ACTIVE,v3
VND0000012,6010,1167,0.1941763727121464,2716781,Airtel,VAC583104,UTC,INACTIVE,v1
VND0000013,5904,1188,0.20121951219512196,2677052,Knowlarity,VAC138790,Asia/Kolkata,ACTIVE,v1
VND0000014,6041,1274,0.21089223638470453,2733981,Knowlarity,VAC547425,Asia/Kolkata,INACTIVE,v3
VND0000015,6066,1193,0.19666996373227827,2758342,TataTele,VAC225367,Asia/Kolkata,ACTIVE,v2
